SERIALNO,NP,TYPE,ACR,BDSP,BLD,ELEP,FULP,GASP,HFL,RMSP,TEN,VALP,YBL,R18,R60
529720,1,1,House on less than one acre,2,Mobile home or trailer,250,300,3,"Fuel oil, kerosene, etc.",3,Rented,NA,1990 to 1999,none,none
529805,2,1,House on less than one acre,3,One-family house detached,120,2,30,Utility gas,6,Owned with mortgage or loan,230000,1970 to 1979,none,1 or more
529939,3,1,House on less than one acre,4,One-family house detached,40,2,3,Electricity,6,Rented,NA,1940 to 1949,none,1 or more
530121,4,1,House on less than one acre,3,One-family house detached,150,2,50,Utility gas,7,Owned with mortgage or loan,310000,1970 to 1979,1 or more,none
530145,2,1,House on less than one acre,4,One-family house detached,140,2,130,Utility gas,10,Owned free and clear,150000,1939 or earlier,none,1 or more
530265,2,1,House on one to less than ten acres,3,Mobile home or trailer,180,800,3,Other fuel,6,Owned with mortgage or loan,40000,1980 to 1989,none,none
530326,5,1,House on less than one acre,3,Mobile home or trailer,190,2,3,Electricity,5,Owned with mortgage or loan,95000,2000 to 2004,1 or more,none
530403,1,1,House on less than one acre,2,Mobile home or trailer,210,2,70,Utility gas,4,Owned free and clear,25000,1980 to 1989,none,1 or more
530436,5,1,House on ten or more acres,3,Mobile home or trailer,150,600,3,Wood,7,Owned with mortgage or loan,125000,2000 to 2004,1 or more,none
530519,4,1,House on less than one acre,3,One-family house detached,110,2,3,Electricity,6,Owned with mortgage or loan,150000,1960 to 1969,1 or more,none
530575,3,1,House on less than one acre,4,One-family house detached,120,2,70,Utility gas,7,Owned with mortgage or loan,360000,1990 to 1999,1 or more,none
530612,2,1,House on less than one acre,3,One-family house detached,90,2,3,Electricity,7,Owned with mortgage or loan,250000,1970 to 1979,none,1 or more
530809,2,1,House on less than one acre,2,One-family house detached,50,2,50,Utility gas,4,Owned free and clear,85000,1950 to 1959,none,1 or more
530880,5,1,NA,3,3-4 Apartments,130,2,50,Electricity,5,Rented,NA,2000 to 2004,1 or more,none
530908,2,1,House on less than one acre,3,One-family house detached,100,2,80,Utility gas,6,Rented,NA,1960 to 1969,1 or more,none
530995,1,1,House on less than one acre,2,One-family house attached,40,2,20,"Bottled, tank, or LP gas",5,Owned with mortgage or loan,195000,2000 to 2004,none,none
531042,1,1,House on less than one acre,2,One-family house detached,40,2,20,Utility gas,4,Owned free and clear,250000,1940 to 1949,none,1 or more
531081,2,1,House on less than one acre,4,One-family house detached,100,2,100,Utility gas,8,Owned with mortgage or loan,350000,1990 to 1999,none,1 or more
531085,1,1,House on less than one acre,3,One-family house detached,80,2,70,Utility gas,6,Owned with mortgage or loan,375000,1960 to 1969,none,1 or more
531339,1,1,NA,1,3-4 Apartments,50,2,3,Electricity,4,Rented,NA,1980 to 1989,none,1 or more
531384,1,1,House on less than one acre,3,One-family house detached,150,2,3,Wood,5,Owned with mortgage or loan,225000,1950 to 1959,none,none
531808,1,1,House on less than one acre,5,One-family house detached,80,1200,3,"Fuel oil, kerosene, etc.",8,Owned free and clear,140000,1939 or earlier,none,1 or more
531832,1,1,NA,1,10-19 Apartments,30,2,3,Electricity,4,Rented,NA,1970 to 1979,none,none
531850,2,1,House on one to less than ten acres,4,One-family house detached,200,1100,200,Electricity,11,Owned with mortgage or loan,450000,1939 or earlier,none,1 or more
531853,1,1,House on less than one acre,2,One-family house detached,60,2,3,Electricity,4,Owned with mortgage or loan,275000,1940 to 1949,none,none
531917,3,1,House on less than one acre,4,One-family house detached,250,2,80,Utility gas,12,Owned with mortgage or loan,650000,1950 to 1959,none,none
531932,2,1,House on less than one acre,2,One-family house attached,50,2,40,Utility gas,3,Rented,NA,1939 or earlier,none,none
531977,3,1,House on less than one acre,4,One-family house detached,110,2,70,Utility gas,8,Owned free and clear,350000,1940 to 1949,1 or more,none
532004,4,1,House on less than one acre,3,One-family house detached,70,2,3,Electricity,7,Owned free and clear,150000,2007,none,1 or more
532089,1,1,House on less than one acre,2,One-family house detached,100,2,3,Electricity,5,Owned free and clear,160000,1940 to 1949,none,1 or more
532160,2,1,House on less than one acre,3,Mobile home or trailer,200,2,3,Electricity,8,Owned with mortgage or loan,180000,1960 to 1969,none,1 or more
532181,1,1,House on less than one acre,3,One-family house detached,50,500,3,Wood,6,Owned free and clear,300000,1980 to 1989,none,1 or more
532188,4,1,House on one to less than ten acres,3,One-family house detached,60,250,3,Wood,4,Owned free and clear,150000,1970 to 1979,1 or more,none
532212,1,1,House on less than one acre,7,One-family house detached,200,2,20,Utility gas,16,Owned free and clear,475000,1980 to 1989,none,1 or more
532455,3,1,NA,2,2 Apartments,120,2,3,Electricity,3,Occupied without payment of rent,NA,1990 to 1999,1 or more,none
532934,2,1,House on less than one acre,3,One-family house detached,60,2,60,Utility gas,5,Owned free and clear,175000,1970 to 1979,none,1 or more
532939,1,1,House on one to less than ten acres,3,One-family house detached,180,2,350,Electricity,12,Owned free and clear,1000000,1980 to 1989,none,1 or more
533010,2,1,NA,1,20-49 Apartments,60,2,3,Electricity,2,Rented,NA,2014,none,none
533046,1,1,NA,1,10-19 Apartments,80,2,3,Electricity,3,Rented,NA,1980 to 1989,none,none
533057,7,1,House on less than one acre,3,One-family house detached,80,2,140,Utility gas,7,Owned with mortgage or loan,20000,1960 to 1969,1 or more,1 or more
533391,4,1,House on less than one acre,2,One-family house attached,110,2,10,Utility gas,3,Rented,NA,1990 to 1999,1 or more,none
533817,2,1,House on less than one acre,3,One-family house detached,20,2,20,Utility gas,9,Owned with mortgage or loan,250000,1990 to 1999,none,1 or more
533998,1,1,House on less than one acre,3,One-family house detached,180,2,3,Electricity,8,Owned free and clear,290000,1970 to 1979,none,none
534013,2,1,House on less than one acre,3,One-family house detached,50,2,40,Utility gas,6,Owned free and clear,360000,2000 to 2004,none,1 or more
534027,1,1,House on less than one acre,3,One-family house detached,50,2,40,Utility gas,5,Rented,NA,1990 to 1999,none,1 or more
534172,4,1,House on less than one acre,5,One-family house detached,100,2,40,Utility gas,8,Rented,NA,2000 to 2004,1 or more,none
534221,2,1,House on less than one acre,2,One-family house detached,4,2,3,Electricity,4,Rented,NA,1950 to 1959,none,none
534274,3,1,House on one to less than ten acres,3,One-family house detached,120,240,3,Wood,6,Owned with mortgage or loan,190000,1960 to 1969,1 or more,none
534278,3,1,House on less than one acre,3,One-family house detached,70,2,3,Utility gas,4,Owned with mortgage or loan,195000,2000 to 2004,1 or more,none
534280,1,1,House on less than one acre,3,One-family house detached,50,2,60,Utility gas,9,Owned with mortgage or loan,195000,1990 to 1999,none,1 or more
534360,2,1,House on less than one acre,3,One-family house detached,40,2,3,Electricity,5,Owned with mortgage or loan,166000,1950 to 1959,none,none
534377,3,1,House on less than one acre,4,One-family house detached,50,2,100,Utility gas,6,Owned with mortgage or loan,720000,1950 to 1959,1 or more,none
534446,2,1,NA,7,5-9 Apartments,70,2,3,Utility gas,12,Rented,NA,1970 to 1979,none,none
534476,5,1,House on less than one acre,4,One-family house detached,70,2,50,Utility gas,8,Owned with mortgage or loan,510000,2010,1 or more,none
534589,1,1,NA,1,50 or more apartments,50,2,3,Electricity,3,Rented,NA,1960 to 1969,none,none
534609,2,1,House on less than one acre,3,Mobile home or trailer,160,2,3,Electricity,5,Owned free and clear,35000,2000 to 2004,none,1 or more
534754,5,1,House on less than one acre,4,One-family house detached,70,2,130,Utility gas,7,Owned free and clear,250000,1990 to 1999,1 or more,1 or more
534858,3,1,NA,2,50 or more apartments,60,2,3,Electricity,4,Rented,NA,1960 to 1969,1 or more,none
534886,7,1,House on less than one acre,3,Mobile home or trailer,140,2,20,Wood,6,Owned with mortgage or loan,28000,1990 to 1999,1 or more,1 or more
534971,2,1,NA,2,10-19 Apartments,90,2,3,Electricity,4,Rented,NA,1970 to 1979,none,none
535167,4,1,NA,3,50 or more apartments,80,2,50,Electricity,5,Rented,NA,1970 to 1979,1 or more,none
535439,3,1,House on one to less than ten acres,2,One-family house detached,340,2,3,Electricity,5,Owned free and clear,600000,1970 to 1979,none,1 or more
535666,1,1,House on less than one acre,2,One-family house detached,40,2,10,Utility gas,4,Rented,NA,1939 or earlier,none,none
535676,3,1,House on less than one acre,4,One-family house detached,80,2,50,Utility gas,8,Owned with mortgage or loan,800000,1950 to 1959,none,1 or more
535689,1,1,NA,1,2 Apartments,20,2,3,Electricity,4,Rented,NA,2009,none,none
535878,3,1,NA,3,2 Apartments,50,2,50,Utility gas,4,Rented,NA,2000 to 2004,none,none
535914,4,1,House on less than one acre,2,One-family house detached,80,2,80,Utility gas,6,Owned with mortgage or loan,365000,1939 or earlier,1 or more,none
536010,1,1,House on less than one acre,3,One-family house detached,80,2,90,Utility gas,6,Owned free and clear,200000,1940 to 1949,none,1 or more
536069,2,1,House on less than one acre,2,One-family house detached,30,2,10,Utility gas,5,Owned with mortgage or loan,110000,1950 to 1959,none,1 or more
536159,2,1,House on less than one acre,3,Mobile home or trailer,50,2,40,Electricity,4,Owned with mortgage or loan,140000,1990 to 1999,none,1 or more
536415,1,1,House on less than one acre,4,One-family house detached,160,2,3,Electricity,13,Owned with mortgage or loan,175000,1939 or earlier,none,none
536429,5,1,NA,2,5-9 Apartments,110,2,3,Electricity,5,Rented,NA,1950 to 1959,none,none
536453,2,1,House on one to less than ten acres,3,Mobile home or trailer,100,400,3,Wood,6,Owned with mortgage or loan,250000,1980 to 1989,none,none
536471,2,1,NA,2,10-19 Apartments,80,2,3,Electricity,3,Rented,NA,2007,none,none
536504,5,1,House on less than one acre,3,One-family house detached,250,2,50,Utility gas,7,Owned with mortgage or loan,25000,1970 to 1979,1 or more,1 or more
536616,2,1,House on less than one acre,3,One-family house detached,40,1,40,Utility gas,5,Owned with mortgage or loan,375000,1950 to 1959,none,none
536715,3,1,House on ten or more acres,2,One-family house detached,150,2,3,Electricity,4,Owned with mortgage or loan,500000,1939 or earlier,1 or more,none
536746,2,1,House on less than one acre,2,One-family house detached,70,2,90,Utility gas,8,Owned with mortgage or loan,208000,1939 or earlier,none,none
536943,3,1,House on less than one acre,7,One-family house detached,110,2,140,"Bottled, tank, or LP gas",12,Rented,NA,1970 to 1979,none,none
536956,2,1,House on less than one acre,3,One-family house detached,60,2,60,Utility gas,5,Owned with mortgage or loan,210000,1990 to 1999,none,none
537068,1,1,House on less than one acre,2,One-family house detached,200,2,80,Utility gas,4,Rented,NA,1939 or earlier,none,none
537162,2,1,NA,2,3-4 Apartments,300,2,3,Electricity,6,Rented,NA,1970 to 1979,none,1 or more
537176,1,1,House on less than one acre,4,One-family house detached,80,2,50,Utility gas,5,Owned with mortgage or loan,225000,2007,none,none
537262,2,1,House on one to less than ten acres,2,One-family house attached,50,2,60,Utility gas,6,Owned with mortgage or loan,140000,1980 to 1989,none,1 or more
537369,1,1,NA,2,10-19 Apartments,50,2,3,Electricity,4,Rented,NA,1950 to 1959,none,none
537564,2,1,House on less than one acre,3,One-family house detached,200,2,3,Electricity,4,Owned with mortgage or loan,250000,1970 to 1979,none,none
537647,2,1,House on less than one acre,3,One-family house detached,90,2,3,Electricity,4,Owned with mortgage or loan,175000,1970 to 1979,none,none
537741,2,1,House on less than one acre,3,One-family house detached,200,2,3,Electricity,5,Owned with mortgage or loan,475000,1990 to 1999,none,1 or more
538132,1,1,House on less than one acre,3,One-family house detached,80,2,90,Utility gas,11,Owned with mortgage or loan,220000,1940 to 1949,none,none
538178,3,1,NA,2,3-4 Apartments,30,2,3,Electricity,4,Rented,NA,1990 to 1999,none,1 or more
538415,3,1,NA,2,5-9 Apartments,100,2,3,Electricity,4,Rented,NA,1970 to 1979,1 or more,none
538494,2,1,House on one to less than ten acres,3,One-family house detached,180,2,90,Utility gas,6,Owned free and clear,400000,1980 to 1989,none,1 or more
538496,2,1,House on less than one acre,3,One-family house detached,60,2,40,Utility gas,6,Owned with mortgage or loan,575000,2000 to 2004,none,1 or more
538541,4,1,House on less than one acre,3,One-family house detached,200,2,30,Electricity,7,Owned with mortgage or loan,250000,1990 to 1999,1 or more,none
538565,2,1,House on less than one acre,2,One-family house detached,80,2,3,Electricity,6,Owned free and clear,200000,1970 to 1979,none,1 or more
538646,1,1,House on less than one acre,3,One-family house detached,80,300,20,Utility gas,7,Owned with mortgage or loan,289000,1950 to 1959,none,none
538738,1,1,House on less than one acre,2,One-family house detached,60,2,10,Utility gas,4,Owned with mortgage or loan,450000,1939 or earlier,none,none
538842,2,1,House on one to less than ten acres,4,One-family house detached,150,2,3,Wood,8,Owned with mortgage or loan,400000,1960 to 1969,none,1 or more
538898,3,1,House on less than one acre,3,One-family house detached,110,2,90,Utility gas,6,Owned with mortgage or loan,330000,1990 to 1999,none,none
538986,1,1,House on less than one acre,4,One-family house detached,140,2,90,Electricity,11,Owned with mortgage or loan,300000,2008,none,none
539020,5,1,House on less than one acre,4,One-family house detached,150,2,100,Utility gas,9,Owned with mortgage or loan,410000,1990 to 1999,1 or more,none
539021,7,1,House on less than one acre,3,One-family house detached,230,2,160,Utility gas,7,Rented,NA,1939 or earlier,1 or more,1 or more
539117,1,1,NA,1,10-19 Apartments,50,2,3,Electricity,3,Rented,NA,1939 or earlier,none,none
539123,3,1,House on less than one acre,3,One-family house detached,110,500,3,Wood,7,Owned with mortgage or loan,150000,1940 to 1949,1 or more,none
539185,2,1,House on less than one acre,5,One-family house detached,80,2,3,"Fuel oil, kerosene, etc.",7,Owned free and clear,100000,1939 or earlier,none,none
539370,2,1,House on less than one acre,3,One-family house detached,70,2,3,Electricity,6,Owned free and clear,250000,1970 to 1979,none,1 or more
539390,3,1,House on one to less than ten acres,4,One-family house detached,190,2,3,Electricity,8,Owned with mortgage or loan,315000,1950 to 1959,1 or more,none
539534,3,1,House on less than one acre,3,One-family house detached,100,2,90,Utility gas,12,Owned with mortgage or loan,530000,2000 to 2004,1 or more,none
539551,2,1,House on less than one acre,3,One-family house detached,80,2,100,Utility gas,10,Owned with mortgage or loan,475000,1990 to 1999,none,1 or more
539615,2,1,House on one to less than ten acres,2,One-family house detached,100,250,3,Wood,4,Rented,NA,1980 to 1989,none,none
539829,2,1,House on less than one acre,2,One-family house detached,50,2,80,Utility gas,4,Owned with mortgage or loan,175000,1950 to 1959,none,1 or more
539948,1,1,NA,1,10-19 Apartments,200,2,3,Electricity,4,Rented,NA,1970 to 1979,none,none
539982,2,1,House on one to less than ten acres,3,One-family house detached,160,2,3,Electricity,9,Owned with mortgage or loan,300000,2000 to 2004,none,1 or more
540048,1,1,NA,2,5-9 Apartments,70,2,3,Electricity,4,Rented,NA,1970 to 1979,none,none
540087,2,1,House on less than one acre,2,One-family house detached,40,2,20,Utility gas,4,Owned with mortgage or loan,150000,1940 to 1949,none,none
540261,2,1,House on less than one acre,4,One-family house detached,80,2,80,"Bottled, tank, or LP gas",7,Owned with mortgage or loan,214000,2000 to 2004,none,1 or more
540267,2,1,House on less than one acre,3,One-family house detached,100,2,10,Utility gas,5,Owned with mortgage or loan,200000,1940 to 1949,none,1 or more
540291,2,1,House on ten or more acres,3,One-family house detached,80,200,3,"Bottled, tank, or LP gas",6,Owned free and clear,100000,1950 to 1959,none,1 or more
540311,1,1,NA,2,10-19 Apartments,130,2,3,Electricity,4,Rented,NA,1980 to 1989,none,none
540365,2,1,NA,2,3-4 Apartments,40,2,3,Electricity,3,Rented,NA,1970 to 1979,1 or more,none
540456,1,1,NA,2,5-9 Apartments,70,2,70,Electricity,4,Owned with mortgage or loan,85000,2000 to 2004,none,1 or more
540668,2,1,House on less than one acre,3,One-family house detached,170,2,3,Electricity,5,Owned with mortgage or loan,145000,1960 to 1969,none,1 or more
540713,1,1,NA,1,20-49 Apartments,50,2,3,Electricity,2,Rented,NA,1990 to 1999,none,none
540729,5,1,House on less than one acre,4,One-family house detached,200,2,3,Electricity,7,Owned with mortgage or loan,235000,1970 to 1979,1 or more,none
540845,2,1,House on less than one acre,3,Mobile home or trailer,70,2,3,Electricity,7,Owned free and clear,70000,2006,none,1 or more
541630,1,1,House on less than one acre,3,One-family house detached,130,2,3,Electricity,6,Owned free and clear,250000,1950 to 1959,none,1 or more
541668,2,1,House on one to less than ten acres,3,One-family house detached,10,2,50,Utility gas,9,Owned free and clear,2476000,1960 to 1969,none,1 or more
541980,2,1,House on less than one acre,3,One-family house detached,130,2,3,Electricity,5,Owned with mortgage or loan,300000,1960 to 1969,none,1 or more
542050,2,1,House on less than one acre,2,One-family house detached,80,2,150,Utility gas,5,Owned with mortgage or loan,150000,1970 to 1979,none,1 or more
542111,5,1,House on one to less than ten acres,4,One-family house detached,130,120,3,Wood,7,Owned with mortgage or loan,265000,2011,1 or more,none
542177,4,1,House on less than one acre,3,One-family house detached,350,2,3,Electricity,6,Rented,NA,1970 to 1979,1 or more,none
542234,2,1,House on one to less than ten acres,4,One-family house detached,120,2,3,Wood,8,Owned with mortgage or loan,135000,1939 or earlier,none,1 or more
542546,1,1,House on one to less than ten acres,3,One-family house detached,60,2,3,Wood,7,Owned free and clear,1000000,1950 to 1959,none,1 or more
542631,1,1,House on less than one acre,2,One-family house detached,30,2,3,Electricity,4,Owned with mortgage or loan,120000,1940 to 1949,none,none
542665,3,1,House on less than one acre,3,One-family house detached,40,2,20,Utility gas,6,Owned with mortgage or loan,200000,1970 to 1979,1 or more,none
542702,4,1,House on less than one acre,3,One-family house detached,60,2,70,Utility gas,6,Owned with mortgage or loan,215000,2000 to 2004,1 or more,none
542778,4,1,House on less than one acre,4,One-family house detached,60,2,30,Utility gas,9,Owned free and clear,450000,1950 to 1959,1 or more,none
542899,3,1,House on less than one acre,2,One-family house detached,100,150,3,Electricity,8,Owned with mortgage or loan,190000,1940 to 1949,1 or more,none
542917,1,1,House on less than one acre,2,One-family house detached,110,2,4,Utility gas,4,Owned free and clear,65000,1950 to 1959,none,none
542942,2,1,House on less than one acre,4,One-family house detached,240,200,100,Utility gas,12,Owned with mortgage or loan,600000,2000 to 2004,none,1 or more
543107,1,1,House on less than one acre,3,One-family house detached,100,2,3,Electricity,7,Owned free and clear,335000,2009,none,1 or more
543264,1,1,NA,1,3-4 Apartments,50,2,3,Electricity,4,Rented,NA,2008,none,none
543268,1,1,House on less than one acre,3,One-family house detached,50,2,20,Utility gas,7,Owned with mortgage or loan,320000,1939 or earlier,none,1 or more
543455,4,1,House on less than one acre,3,One-family house detached,60,2,70,Utility gas,8,Owned with mortgage or loan,550000,1990 to 1999,1 or more,none
543488,2,1,House on less than one acre,3,One-family house detached,110,2,30,Utility gas,6,Owned with mortgage or loan,250000,1960 to 1969,none,1 or more
543721,2,1,House on less than one acre,4,One-family house detached,300,2,40,Electricity,8,Owned with mortgage or loan,350000,1990 to 1999,none,1 or more
543738,5,1,House on less than one acre,3,One-family house detached,220,2,30,Electricity,6,Owned with mortgage or loan,210000,1980 to 1989,1 or more,none
544119,1,1,House on one to less than ten acres,3,One-family house detached,140,280,10,Electricity,5,Owned with mortgage or loan,475000,2012,none,1 or more
544166,3,1,NA,2,10-19 Apartments,140,2,3,Electricity,5,Rented,NA,1980 to 1989,1 or more,none
544196,1,1,NA,2,20-49 Apartments,50,2,3,Electricity,4,Rented,NA,2006,none,none
544283,2,1,House on less than one acre,2,One-family house detached,170,2,70,Electricity,5,Owned free and clear,175000,1950 to 1959,none,1 or more
544284,3,1,House on less than one acre,4,One-family house detached,90,2,50,"Bottled, tank, or LP gas",6,Rented,NA,1960 to 1969,none,1 or more
544312,4,1,House on less than one acre,4,One-family house detached,150,2,60,Electricity,6,Owned with mortgage or loan,350000,2011,1 or more,none
544343,1,1,House on less than one acre,2,One-family house attached,60,2,3,Electricity,4,Rented,NA,1960 to 1969,none,none
544357,1,1,House on less than one acre,2,One-family house detached,110,2,3,Electricity,5,Rented,NA,1980 to 1989,none,none
544403,3,1,House on one to less than ten acres,2,One-family house detached,120,2,3,Wood,6,Owned with mortgage or loan,225000,1980 to 1989,none,1 or more
544433,1,1,House on less than one acre,2,One-family house attached,70,2,3,Electricity,3,Rented,NA,1980 to 1989,none,1 or more
544460,2,1,House on ten or more acres,4,One-family house detached,90,2,3,Wood,9,Owned with mortgage or loan,300000,1940 to 1949,none,none
544527,1,1,NA,1,50 or more apartments,50,2,3,Electricity,3,Rented,NA,1980 to 1989,none,1 or more
544544,3,1,House on less than one acre,4,One-family house detached,130,2,100,Utility gas,9,Owned with mortgage or loan,845000,2006,none,none
544781,2,1,House on one to less than ten acres,3,One-family house detached,150,2,3,Electricity,6,Owned with mortgage or loan,250000,1970 to 1979,none,1 or more
544788,1,1,House on one to less than ten acres,2,One-family house detached,180,2,3,Electricity,4,Rented,NA,1970 to 1979,none,none
544797,2,1,NA,1,50 or more apartments,70,2,3,Utility gas,2,Rented,NA,2000 to 2004,none,none
544853,4,1,House on less than one acre,3,One-family house detached,140,2,80,Utility gas,8,Owned with mortgage or loan,550000,1939 or earlier,1 or more,none
545053,2,1,House on one to less than ten acres,2,One-family house detached,120,50,10,Wood,5,Owned with mortgage or loan,350000,2007,none,1 or more
545118,2,1,House on one to less than ten acres,4,One-family house detached,80,2,30,"Bottled, tank, or LP gas",7,Owned free and clear,150000,1939 or earlier,none,1 or more
545156,2,1,House on one to less than ten acres,3,One-family house detached,130,2,3,Wood,7,Owned free and clear,275000,1970 to 1979,none,1 or more
545211,3,1,House on ten or more acres,3,Mobile home or trailer,180,300,3,Wood,7,Owned free and clear,150000,2000 to 2004,none,1 or more
545297,3,1,House on less than one acre,2,One-family house detached,140,2,3,Electricity,4,Rented,NA,1970 to 1979,none,none
545440,1,1,NA,1,20-49 Apartments,70,2,3,Electricity,3,Rented,NA,1960 to 1969,none,none
545593,1,1,House on less than one acre,1,Mobile home or trailer,130,2,3,Electricity,2,Occupied without payment of rent,NA,2013,none,none
545951,2,1,House on less than one acre,4,One-family house detached,140,2,110,Utility gas,8,Owned with mortgage or loan,399000,1980 to 1989,none,none
546144,2,1,NA,1,20-49 Apartments,80,2,3,Electricity,3,Rented,NA,1970 to 1979,1 or more,none
546203,2,1,House on less than one acre,3,One-family house detached,50,2,70,Utility gas,5,Owned with mortgage or loan,200000,1990 to 1999,none,none
546264,1,1,House on less than one acre,2,One-family house detached,80,2,80,Utility gas,4,Owned with mortgage or loan,240000,1940 to 1949,none,1 or more
546301,2,1,House on less than one acre,3,One-family house detached,120,2,4,Utility gas,7,Owned with mortgage or loan,300000,1940 to 1949,none,none
546306,2,1,House on less than one acre,5,One-family house detached,100,2,90,Utility gas,10,Owned with mortgage or loan,250000,1939 or earlier,none,1 or more
546445,2,1,House on one to less than ten acres,1,One-family house detached,100,2,3,Wood,4,Rented,NA,1939 or earlier,none,none
546770,2,1,House on one to less than ten acres,3,Mobile home or trailer,200,2,3,Electricity,7,Owned with mortgage or loan,250000,2007,none,1 or more
546831,4,1,NA,3,5-9 Apartments,120,2,3,Electricity,6,Rented,NA,2006,1 or more,1 or more
546900,2,1,NA,2,3-4 Apartments,100,2,3,Electricity,4,Rented,NA,1970 to 1979,1 or more,none
547297,2,1,House on less than one acre,3,One-family house detached,80,2,30,Electricity,5,Owned free and clear,200000,1960 to 1969,none,1 or more
547304,3,1,House on less than one acre,3,One-family house detached,120,2,40,Utility gas,8,Owned with mortgage or loan,329000,1990 to 1999,none,1 or more
547385,3,1,House on less than one acre,3,One-family house detached,150,2,3,Electricity,5,Owned free and clear,125000,1970 to 1979,1 or more,1 or more
547619,1,1,House on ten or more acres,3,Mobile home or trailer,20,2,3,Electricity,5,Owned free and clear,500000,1970 to 1979,none,1 or more
547682,2,1,House on one to less than ten acres,3,One-family house detached,170,1200,3,Wood,5,Owned with mortgage or loan,375000,1980 to 1989,none,1 or more
547731,2,1,House on less than one acre,2,One-family house detached,160,2,3,Electricity,4,Owned with mortgage or loan,230000,1950 to 1959,none,1 or more
547754,3,1,NA,3,3-4 Apartments,80,2,30,Utility gas,6,Rented,NA,1939 or earlier,1 or more,none
547759,3,1,NA,2,10-19 Apartments,50,2,3,Electricity,3,Rented,NA,1990 to 1999,1 or more,none
547883,3,1,House on less than one acre,3,One-family house detached,100,2,40,Utility gas,5,Rented,NA,1970 to 1979,none,1 or more
548068,3,1,NA,2,3-4 Apartments,70,2,30,Electricity,4,Rented,NA,1970 to 1979,1 or more,none
548128,3,1,NA,2,50 or more apartments,130,2,3,Electricity,6,Rented,NA,1990 to 1999,1 or more,none
548192,10,1,House on less than one acre,4,One-family house detached,170,2,3,Electricity,9,Rented,NA,1980 to 1989,1 or more,1 or more
548203,2,1,House on less than one acre,3,One-family house detached,150,2,60,Utility gas,5,Rented,NA,1970 to 1979,none,none
548317,2,1,House on less than one acre,3,One-family house detached,120,2,90,Utility gas,5,Owned with mortgage or loan,200000,1990 to 1999,none,none
548503,2,1,House on one to less than ten acres,3,Mobile home or trailer,140,2,3,Electricity,4,Owned with mortgage or loan,200000,1990 to 1999,none,1 or more
548510,4,1,House on less than one acre,4,One-family house detached,100,2,70,Utility gas,13,Owned with mortgage or loan,725000,1939 or earlier,1 or more,none
548530,4,1,House on less than one acre,3,One-family house detached,120,2,3,Wood,7,Rented,NA,1950 to 1959,1 or more,none
548688,1,1,House on less than one acre,3,One-family house detached,40,600,3,Wood,7,Owned with mortgage or loan,45000,1940 to 1949,none,1 or more
548689,2,1,House on less than one acre,2,One-family house detached,40,2,3,Electricity,4,Occupied without payment of rent,NA,1950 to 1959,none,none
548739,2,1,House on less than one acre,5,One-family house detached,100,2,80,Utility gas,12,Owned with mortgage or loan,400000,1980 to 1989,none,none
548792,1,1,House on less than one acre,3,One-family house detached,130,2,3,Electricity,4,Owned free and clear,125000,1980 to 1989,none,none
548887,3,1,House on less than one acre,4,One-family house detached,50,2,50,Utility gas,8,Owned with mortgage or loan,500000,2000 to 2004,1 or more,none
548984,2,1,House on less than one acre,5,One-family house detached,120,2,30,Utility gas,9,Owned with mortgage or loan,250000,1980 to 1989,none,none
549072,3,1,House on ten or more acres,3,One-family house detached,210,700,3,Electricity,9,Owned free and clear,800000,1980 to 1989,1 or more,none
549256,1,1,House on less than one acre,1,One-family house detached,140,150,3,Electricity,4,Owned free and clear,150000,1950 to 1959,none,1 or more
549299,1,1,House on less than one acre,4,One-family house detached,60,200,30,Utility gas,10,Owned with mortgage or loan,340000,1950 to 1959,none,none
549343,1,1,House on less than one acre,3,One-family house detached,120,2,3,Electricity,8,Owned with mortgage or loan,400000,2009,none,1 or more
549655,4,1,House on less than one acre,4,One-family house detached,160,1200,3,Wood,6,Owned with mortgage or loan,155000,1940 to 1949,1 or more,1 or more
549681,4,1,House on one to less than ten acres,3,One-family house detached,170,2,30,"Bottled, tank, or LP gas",6,Owned with mortgage or loan,599000,1980 to 1989,none,none
549707,2,1,House on less than one acre,3,Mobile home or trailer,170,2,3,Electricity,5,Rented,NA,1990 to 1999,none,none
549743,8,1,House on less than one acre,3,One-family house detached,540,2,140,Utility gas,8,Owned with mortgage or loan,550000,1950 to 1959,1 or more,1 or more
549809,3,1,House on less than one acre,3,One-family house detached,130,2,3,Electricity,6,Rented,NA,1960 to 1969,1 or more,none
549927,2,1,House on less than one acre,3,One-family house detached,70,2,60,Utility gas,8,Owned free and clear,500000,1939 or earlier,none,1 or more
550005,3,1,NA,3,2 Apartments,200,2,3,Electricity,6,Rented,NA,1970 to 1979,1 or more,none
550137,2,1,House on ten or more acres,2,One-family house detached,90,2,3,Wood,4,Occupied without payment of rent,NA,2005,none,1 or more
550196,2,1,NA,2,10-19 Apartments,120,2,3,Electricity,3,Rented,NA,1990 to 1999,none,none
550237,1,1,House on less than one acre,2,Mobile home or trailer,160,2,3,Electricity,4,Owned free and clear,12000,1970 to 1979,none,1 or more
550334,3,1,House on less than one acre,3,One-family house detached,160,2,3,Electricity,6,Owned with mortgage or loan,158000,1970 to 1979,1 or more,none
